Japanese	English
SFX　m2500　松明01	SFX m2500 torch 01
SFX　m2500　松明02	SFX m2500 torch 02
SFX　m2520　松明01	SFX m2520 torch 01
SFX　m2520　松明02	SFX m2520 torch 02
SFX　m2520　松明03	SFX m2520 torch 03
SFX　m2540　松明01	SFX m2540 torch 01
SFX　m2540　松明02	SFX m2540 torch 02
SFX　m2540　松明03	SFX m2540 torch 03
SFX　m2540　松明04	SFX m2540 torch 04
SFX　m2540　松明05	SFX m2540 torch 05
SFX　m2540　松明06	SFX m2540 torch 06
SFX　m2540　松明07	SFX m2540 torch 07
SFX　m2541　松明01	SFX m2541 torch 01
SFX　m2541　松明02	SFX m2541 torch 02
SFX　m2710　下水の水飛沫	Water splash of sewage m2710 SFX
SFX　m2710　松明01	SFX m2710 torch 01
SFX　o1055_01	SFX o1055_01
SFX　o1055_02	SFX o1055_02
SFX　o1055_04	SFX o1055_04
SFX　o1055_05	SFX o1055_05
SFX　o1055_06	SFX o1055_06
SFX　o1055_07	SFX o1055_07
SFX　o1055_09	SFX o1055_09
SFX　o1055_10	SFX o1055_10
SFX　ｈ0031　霧	H0031 fog SFX
SFX　ボス部屋に立ち込め煙(右下)	Hung over the SFX boss room smoke ( lower right )
SFX　ボス部屋に立ち込め煙(右上)	Hung over the SFX boss room smoke ( upper right )
SFX　ボス部屋に立ち込め煙(左下)	Hung over the SFX boss room smoke ( lower left )
SFX　ボス部屋に立ち込め煙(左上)	Hung over the SFX boss room smoke ( upper left )
SFX　ボス部屋の松明01	Torch 01 of SFX boss room
SFX　ボス部屋の松明02	Torch 02 of SFX boss room
SFX　ボス部屋の松明03	Torch 03 of SFX boss room
SFX　ボス部屋の松明04	Torch 04 of SFX boss room
SFX　ボス部屋の松明07	Torch 07 of SFX boss room
SFX　ボス部屋の松明09	Torch 09 of SFX boss room
SFX　ボス部屋の松明10	Torch 10 of SFX boss room
SFX　ボス部屋の松明11	Torch 11 of SFX boss room
SFX　ボス部屋の松明12	Torch 12 of SFX boss room
SFX　ボス部屋の松明14	Torch 14 of SFX boss room
SFX　ボス部屋の松明15	Torch 15 of SFX boss room
SFX　ボス部屋の松明16	Torch 16 of SFX boss room
SFX　粘液から煙1	Smoke from one SFX mucus
SFX　粘液から煙2	2 smoke from SFX mucus
SFX　粘液から煙3	3 smoke from SFX mucus
SFX　粘液から煙4	4 smoke from SFX mucus
SFX　粘液から煙5	5 smoke from SFX mucus
SFX　粘液から煙6	6 smoke from SFX mucus
SFX　粘液から煙7	7 smoke from SFX mucus
SFX　粘液から煙8	8 smoke from SFX mucus
SFX　風	SFX style
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara	takara
takara箱00	takara box 00
魔法血文字1	Blood magic character 1
魔法血文字2	Blood magic character 2
魔法血文字3	Blood magic character 3
魔法血文字4	Blood magic character 4
ObjAct 汎用扉1315_0000	ObjAct general-purpose door 1315_0000
ObjAct 汎用扉1315_0001	ObjAct general-purpose door 1315_0001
ObjAct宝箱00	ObjAct treasure box 00
復活イベント00	Revival event 00
復活イベント01	Revival event 01
復活イベントboss	Revival event boss
navimesh 汎用扉02	navimesh general-purpose door 02
navimesh 汎用扉1315_0000	navimesh general-purpose door 1315_0000
navimesh 汎用扉1315_0001	navimesh general-purpose door 1315_0001
GIEL h0002	GIEL h0002
GIEL h0004	GIEL h0004
GIEL h0007	GIEL h0007
GIEL h0009	GIEL h0009
GIEL h0020	GIEL h0020
GIEL h0022	GIEL h0022
GIEL h0035	GIEL h0035
GIEL h0052	GIEL h0052
GIEL h0054	GIEL h0054
GIEL h0058	GIEL h0058
GIEL h0059	GIEL h0059
GIEL h0070	GIEL h0070
GIEL h0074	GIEL h0074
GIEL h0075	GIEL h0075
GIEL h0002	GIEL h0002
GIEL h0004	GIEL h0004
GIEL h0007	GIEL h0007
GIEL h0009	GIEL h0009
GIEL h0020	GIEL h0020
GIEL h0022	GIEL h0022
GIEL h0035	GIEL h0035
GIEL h0052	GIEL h0052
GIEL h0054	GIEL h0054
GIEL h0058	GIEL h0058
GIEL h0059	GIEL h0059
GIEL h0070	GIEL h0070
GIEL h0074	GIEL h0074
GIEL h0075	GIEL h0075
SFX 光の壁 CP1	CP1 wall of light SFX
SFX 光の壁 ボス前	Wall boss before the SFX light
SFX 光の壁 マルチ1	Multi- wall 1 of SFX light
SFX 光の壁 マルチ2	Multi- wall 2 of SFX light
SFX　h0031 霧	H0031 fog SFX
SFX　m2080　松明01	SFX m2080 torch 01
SFX　m2090　松明01	SFX m2090 torch 01
SFX　m2100　下水の水飛沫	Water splash of sewage m2100 SFX
SFX　m2100　松明01	SFX m2100 torch 01
SFX　m2100　松明02	SFX m2100 torch 02
SFX　m2100　松明03	SFX m2100 torch 03
SFX　m2120　松明01	SFX m2120 torch 01
SFX　m2120　松明02	SFX m2120 torch 02
SFX　m2122　松明01	SFX m2122 torch 01
SFX　m2130　松明01	SFX m2130 torch 01
SFX　m2130　松明02	SFX m2130 torch 02
SFX　m2130　松明03	SFX m2130 torch 03
SFX　m2130　厨房の火	Fire m2130 kitchen SFX
SFX　m2200　下水の水飛沫	Water splash of sewage m2200 SFX
SFX　m2200　下水の滝　	Waterfall of sewage m2200 SFX
SFX　m2200　松明01	SFX m2200 torch 01
SFX　m2200　霧01	SFX m2200 fog 01
SFX　m2200　霧02	SFX m2200 fog 02
SFX　m2210　松明01	SFX m2210 torch 01
SFX　m2210　松明02	SFX m2210 torch 02
SFX　m2210　落とし穴の滝	Falls m2210 pitfalls SFX
SFX　m2220　松明01	SFX m2220 torch 01
SFX　m2230　松明01	SFX m2230 torch 01
SFX　m2230　松明01	SFX m2230 torch 01
SFX　m2240　松明01	SFX m2240 torch 01
SFX　m2250　松明01	SFX m2250 torch 01
SFX　m2260　松明01	SFX m2260 torch 01
SFX　m2310　松明01	SFX m2310 torch 01
SFX　m2330　松明01	SFX m2330 torch 01
SFX　m2350　松明01	SFX m2350 torch 01
SFX　m2360　松明01	SFX m2360 torch 01
SFX　m2370　松明01	SFX m2370 torch 01
SFX　m2380　松明01	SFX m2380 torch 01
SFX　m2390　松明01	SFX m2390 torch 01
SFX　m2390　落とし穴の水飛沫	Water splash of m2390 pitfalls SFX
SFX　m2410　松明01	SFX m2410 torch 01
SFX　m2500　松明01	SFX m2500 torch 01
SFX　m2500　松明02	SFX m2500 torch 02
SFX　m2520　松明01	SFX m2520 torch 01
SFX　m2520　松明02	SFX m2520 torch 02
SFX　m2520　松明03	SFX m2520 torch 03
SFX　m2540　松明01	SFX m2540 torch 01
SFX　m2540　松明02	SFX m2540 torch 02
SFX　m2540　松明03	SFX m2540 torch 03
SFX　m2540　松明04	SFX m2540 torch 04
SFX　m2540　松明05	SFX m2540 torch 05
SFX　m2540　松明06	SFX m2540 torch 06
SFX　m2540　松明07	SFX m2540 torch 07
SFX　m2540　松明07	SFX m2540 torch 07
SFX　m2541　松明01	SFX m2541 torch 01
SFX　m2541　松明02	SFX m2541 torch 02
SFX　m2710　下水の水飛沫	Water splash of sewage m2710 SFX
SFX　m2710　松明01	SFX m2710 torch 01
SFX　o1055_01	SFX o1055_01
SFX　o1055_02	SFX o1055_02
SFX　o1055_04	SFX o1055_04
SFX　o1055_05	SFX o1055_05
SFX　o1055_06	SFX o1055_06
SFX　o1055_07	SFX o1055_07
SFX　o1055_09	SFX o1055_09
SFX　o1055_10	SFX o1055_10
SFX　貯水池1F　松明14	SFX 1F reservoir torch 14
SFX　貯水池1F　松明15	SFX 1F reservoir torch 15
SFX　貯水池1F　松明16	SFX 1F reservoir torch 16
SFX　貯水池2F　松明04	SFX reservoir 2F torch 04
SFX　貯水池2F　松明06	SFX reservoir 2F torch 06
SFX　貯水池3F　松明07	SFX reservoir 3F torch 07
SFX　貯水池3F　松明09	SFX reservoir 3F torch 09
SFX　貯水池4F　松明10	SFX reservoir 4F torch 10
SFX　貯水池4F　松明11	SFX reservoir 4F torch 11
SFX　貯水池4F　松明12	SFX reservoir 4F torch 12
SFX　貯水池１F　松明01	SFX 1F reservoir torch 01
SFX　貯水池１F　松明02	SFX 1F reservoir torch 02
SFX　貯水池１F　松明03	SFX 1F reservoir torch 03
SFX　貯水池に立ち込め煙(右下)	SFX hung over the smoke reservoir ( lower right )
SFX　貯水池に立ち込め煙(右上)	SFX hung over the smoke reservoir ( upper right )
SFX　貯水池に立ち込め煙(左下)	SFX hung over the smoke reservoir ( lower left )
SFX　貯水池に立ち込め煙(左上)	SFX hung over the smoke reservoir ( upper left )
SFX　粘液から煙1	Smoke from one SFX mucus
SFX　粘液から煙2	2 smoke from SFX mucus
SFX　粘液から煙3	3 smoke from SFX mucus
SFX　粘液から煙4	4 smoke from SFX mucus
SFX　粘液から煙5	5 smoke from SFX mucus
SFX　粘液から煙6	6 smoke from SFX mucus
SFX　粘液から煙7	7 smoke from SFX mucus
SFX　粘液から煙8	8 smoke from SFX mucus
SFX　風	SFX style
event NPC協力サイン00	event NPC sign 00 cooperation
event NPC協力サイン01	event NPC sign 01 cooperation
event NPC侵入サイン	event NPC invasion sign
event NPC侵入判定	event NPC invasion decision
event ボス部屋BGM	event boss room BGM
event ボス部屋侵入イベント PC移動目標	event boss room intrusion events moving target PC
event ボス部屋侵入イベント 戦闘開始領域	event boss room intrusion event combat initiation region
event ボス部屋侵入イベント 発生領域	event boss room intrusion event generation area
event ボス部屋登場ポリ劇判定	event boss room appearance poly play decision
event 光の壁 CP1後	CP1 wall after the event light
event 光の壁 CP1前	CP1 wall before the event light
event 通り過ぎるバジリスク 発生領域	Basilisk generation area passing event
event 通り過ぎるバジリスク 発生領域	Basilisk generation area passing event
event 飛び降りコック追跡開始判定	cock track start determining jumping event
event 腐肉00 落下領域	00 fall area event carrion
event 腐肉01 落下領域	01 fall area event carrion
event 腐肉02-03 落下領域	02-03 drop area event carrion
event 腐肉04-06 落下領域	04-06 drop area event carrion
event 腐肉07 落下領域	07 fall area event carrion
eventHIT 床滑りイベント	eventHIT floor slip events
logic c1202犬ネズミ（大）が引き返す0	0 (large) will turn back logic c1202 dog mouse
logic c1202犬ネズミ（大）が引き返す1	1 (large) will turn back logic c1202 dog mouse
logic c1202犬ネズミ（大）が引き返す2	2 (large) will turn back logic c1202 dog mouse
logic c1202犬ネズミ（大）が戻る位置	position ( large ) returns logic c1202 dog mouse
logic スライム侵入不可領域	logic slime entrance forbidden area
logic 犬ネズミ（大）の戦闘領域	combat area logic rat dog (large )
navimesh ノードバンク登録00	navimesh node bank registered 00
navimesh ノードバンク登録01	navimesh node bank registered 01
navimesh ノードバンク登録02	navimesh node bank registered 02
へどろ3	Sludge 3
へどろ１	Sludge 1
へどろ２	Sludge 2
ボス出現滝２	Boss appearance waterfall 2
マップ名表示領域1	Map name display area 1
移動ポイント バジリスク00_00	Movement Points Basilisk 00_00
移動ポイント バジリスク00_01	Movement Points Basilisk 00_01
移動ポイント バジリスク01_00	Movement Points Basilisk 01_00
移動ポイント バジリスク01_01	Movement Points Basilisk 01_01
移動ポイント バジリスク02_00	Movement Points Basilisk 02_00
移動ポイント バジリスク02_01	Movement Points Basilisk 02_01
移動ポイント バジリスク03_00	Movement Points Basilisk 03_00
移動ポイント バジリスク03_01	Movement Points Basilisk 03_01
移動ポイント バジリスク04_00	Movement Points Basilisk 04_00
移動ポイント バジリスク04_01	Movement Points Basilisk 04_01
移動ポイント 松明00_00	Movement points torches 00_00
移動ポイント 松明00_01	Movement points torches 00_01
移動ポイント 松明00_02	Movement points torches 00_02
移動ポイント 松明01_00	Movement points torches 01_00
移動ポイント 松明01_01	Movement points torches 01_01
下水滝	Sewage waterfall
階層A	A hierarchy
階層B	Hierarchy B
階層C	Layer C
黒侵入ポイント00	Black intrusion point 00
黒侵入ポイント01	Black intrusion point 01
黒侵入ポイント10	Black intrusion point 10
黒侵入ポイント11	Black intrusion point 11
滝	Waterfall
地下水路	Underground waterway
地下水路2	Underground waterway 2
復活ポイント00	Resurrection point 00
復活ポイント01	Resurrection point 01
復活ポイントboss	Resurrection point boss
魔法血文字1	Blood magic character 1
魔法血文字2	Blood magic character 2
魔法血文字3	Blood magic character 3
魔法血文字4	Blood magic character 4
PL m2012　松明01	PL m2012 torch 01
PL m2012　松明02	PL m2012 torch 02
PL m2012　松明03	PL m2012 torch 03
PL m2061　松明04	PL m2061 torch 04
PL m2061　松明05	PL m2061 torch 05
PL m2061　松明06	PL m2061 torch 06
PL m2061　松明07	PL m2061 torch 07
PL m2341　松明09	PL m2341 torch 09
PL m2341　松明10	PL m2341 torch 10
PL m3004　松明11	PL m3004 torch 11
PL 教会隠し部屋燭台	PL church hidden room candlestick
PL 教会階段燭台	PL church stairs candlestick
PL 教会祭壇燭台１	PL church altar candlestick 1
PL 教会祭壇燭台２	PL church altar candlestick 2
PL 教会石像蜀台0	PL church stone statue蜀台0
PL 教会石像蜀台1	PL church stone statue蜀台1
PL 教会石像蜀台2	PL church stone statue蜀台2
PL 教会石像蜀台3	PL church stone statue蜀台3
PL 教会石像蜀台4	PL church stone statue蜀台4
PL 教会石像蜀台5	PL church stone statue蜀台5
PL 教会石像蜀台6	PL church stone statue蜀台6
PL 教会石像蜀台7	PL church stone statue蜀台7
PL　m2020　松明17	PL m2020 torch 17
PL　m2020　松明19	PL m2020 torch 19
PL　m2063　松明01	PL m2063 torch 01
PL　m2063　松明02	PL m2063 torch 02
PL　m2063　松明03	PL m2063 torch 03
PL　m2063　松明04	PL m2063 torch 04
PL　m2063　松明05	PL m2063 torch 05
PL　m2063　松明06	PL m2063 torch 06
PL　m2063　松明07	PL m2063 torch 07
PL　m2340　松明07	PL m2340 torch 07
PL　m2340　松明15	PL m2340 torch 15
PL　m2340　松明16	PL m2340 torch 16
PL　m2341　松明14	PL m2341 torch 14
PL　m3121　松明01	PL m3121 torch 01
PL　m3121　松明02	PL m3121 torch 02
PL　m3121　松明03	PL m3121 torch 03
PL　m3121　松明04	PL m3121 torch 04
PL　m3121　松明05	PL m3121 torch 05
PL　m3220　松明11	PL m3220 torch 11
PL　m3220　松明12	PL m3220 torch 12
PL　m3220　松明20	PL m3220 torch 20
PL　m3221　松明23	PL m3221 torch 23
PL　m3221　松明24	PL m3221 torch 24
PL　m3221　松明25	PL m3221 torch 25
PL　m3221　松明26	PL m3221 torch 26
PL　m3221　松明27	PL m3221 torch 27
PL　m3221　松明28	PL m3221 torch 28
PL　m3221　松明29	PL m3221 torch 29
PL　m3221　松明30	PL m3221 torch 30
sound ボスBGM	sound Boss BGM
sound 屋上の風	wind of sound roof
sound 中ボス1BGM	sound Boss 1BGM
sound 中ボス2BGM	sound Boss 2BGM
鳥1	Birds 1
鳥2	Birds 2
風1	Wind 1
風2	Wind 2
風3	Wind 3
風4	Wind 4
風5	Wind 5
風橋1	Overcast 1
風橋2	Overcast 2
SFX マップに振る火の粉	Sparks shake SFX map
SFX 教会隠し部屋蜀台	SFX church hidden room蜀台
SFX 教会階段蜀台3	SFX church stairs蜀台3
SFX 教会祭壇蜀台2	SFX church altar蜀台2
SFX 教会祭壇蜀台１	SFX church altar蜀台1
SFX 教会石像蜀台0	SFX church stone statue蜀台0
SFX 教会石像蜀台1	SFX church stone statue蜀台1
SFX 教会石像蜀台2	SFX church stone statue蜀台2
SFX 教会石像蜀台3	SFX church stone statue蜀台3
SFX 教会石像蜀台4	SFX church stone statue蜀台4
SFX 教会石像蜀台5	SFX church stone statue蜀台5
SFX 教会石像蜀台6	SFX church stone statue蜀台6
SFX 教会石像蜀台7	SFX church stone statue蜀台7
SFX 光の壁 CP1	CP1 wall of light SFX
SFX 光の壁 CP2	CP2 SFX wall of light
SFX 光の壁 ボス後	Wall boss after SFX light
SFX 光の壁 ボス前	Wall boss before the SFX light
SFX 光の壁 マルチ1	Multi- wall 1 of SFX light
SFX 光の壁 マルチ10	Multi- wall 10 of SFX light
SFX 光の壁 マルチ11	Multi- wall 11 of SFX light
SFX 光の壁 マルチ2	Multi- wall 2 of SFX light
SFX 光の壁 マルチ3	Multi- wall 3 of SFX light
SFX 光の壁 マルチ4	Multi- wall 4 of SFX light
SFX 光の壁 マルチ5	Multi- wall 5 of SFX light
SFX 光の壁 マルチ6	Multi- wall 6 of SFX light
SFX 光の壁 マルチ7	Multi- wall 7 of SFX light
SFX 光の壁 マルチ8	Multi- wall 8 of SFX light
SFX 光の壁 マルチ9	Multi- wall 9 of SFX light
SFX 光の壁 中ボス1後	Wall boss one after the SFX light
SFX 光の壁 中ボス1前	Wall in front of the boss 1 SFX light
SFX 光の壁 中ボス2前	Wall in front of the boss 2 SFX light
SFX 燃える死体（少）	Burning corpses SFX ( less)
SFX 燃える死体（少）	Burning corpses SFX ( less)
SFX 燃える死体（多）	Burning corpses SFX ( many)
SFX　m2012　松明01	SFX m2012 torch 01
SFX　m2012　松明02	SFX m2012 torch 02
SFX　m2012　松明03	SFX m2012 torch 03
SFX　m2020　松明17	SFX m2020 torch 17
SFX　m2020　松明19	SFX m2020 torch 19
SFX　m2061　松明04	SFX m2061 torch 04
SFX　m2061　松明05	SFX m2061 torch 05
SFX　m2061　松明06	SFX m2061 torch 06
SFX　m2061　松明07	SFX m2061 torch 07
SFX　m2063　松明01	SFX m2063 torch 01
SFX　m2063　松明02	SFX m2063 torch 02
SFX　m2063　松明03	SFX m2063 torch 03
SFX　m2063　松明04	SFX m2063 torch 04
SFX　m2063　松明05	SFX m2063 torch 05
SFX　m2063　松明06	SFX m2063 torch 06
SFX　m2063　松明07	SFX m2063 torch 07
SFX　m2220　松明13	SFX m2220 torch 13
SFX　m2340　松明07	SFX m2340 torch 07
SFX　m2340　松明15	SFX m2340 torch 15
SFX　m2340　松明16	SFX m2340 torch 16
SFX　m2341　松明09	SFX m2341 torch 09
SFX　m2341　松明10	SFX m2341 torch 10
SFX　m2341　松明14	SFX m2341 torch 14
SFX　m2350　松明12	SFX m2350 torch 12
SFX　m3004　松明11	SFX m3004 torch 11
SFX　m3121　松明01	SFX m3121 torch 01
SFX　m3121　松明02	SFX m3121 torch 02
SFX　m3121　松明03	SFX m3121 torch 03
SFX　m3121　松明04	SFX m3121 torch 04
SFX　m3121　松明05	SFX m3121 torch 05
SFX　m3220　松明11	SFX m3220 torch 11
SFX　m3220　松明12	SFX m3220 torch 12
SFX　m3220　松明20	SFX m3220 torch 20
SFX　m3221　松明23	SFX m3221 torch 23
SFX　m3221　松明24	SFX m3221 torch 24
SFX　m3221　松明25	SFX m3221 torch 25
SFX　m3221　松明26	SFX m3221 torch 26
SFX　m3222　松明27	SFX m3222 torch 27
SFX　m3222　松明28	SFX m3222 torch 28
SFX　m3222　松明29	SFX m3222 torch 29
SFX　m3222　松明30	SFX m3222 torch 30
SFX　風	SFX style
宝死体00	Treasure corpse 00
宝死体01	Treasure corpse 01
宝死体02	Treasure corpse 02
宝死体04壷	04 pot treasure corpse
宝死体05	Treasure corpse 05
宝死体06	Treasure corpse 06
宝死体07	Treasure corpse 07
宝死体08	Treasure corpse 08
宝死体09	Treasure corpse 09
宝死体10	Treasure corpse 10
宝死体11	Treasure corpse 11
宝死体12	Treasure corpse 12
宝死体13	Treasure corpse 13
宝死体14	Treasure corpse 14
宝死体15	Treasure corpse 15
宝死体18	Treasure corpse 18
宝死体19	Treasure corpse 19
宝死体21	Treasure corpse 21
宝死体23	Treasure corpse 23
宝死体24	Treasure corpse 24
宝死体26壺	26 pot treasure corpse
宝死体41	Treasure corpse 41
宝死体42	Treasure corpse 42
宝死体43	Treasure corpse 43
宝死体44	Treasure corpse 44
宝死体45	Treasure corpse 45
宝死体46	Treasure corpse 46
宝死体47	Treasure corpse 47
宝死体48	Treasure corpse 48
宝死体49壺	49 pot treasure corpse
宝死体50	Treasure corpse 50
宝死体502_05	Treasure corpse 502_05
宝死体502_06	Treasure corpse 502_06
宝死体502_07	Treasure corpse 502_07
宝死体502_08	Treasure corpse 502_08
宝死体502_10	Treasure corpse 502_10
宝死体502_12	Treasure corpse 502_12
宝死体502_13	Treasure corpse 502_13
宝死体502_15	Treasure corpse 502_15
宝死体502_20	Treasure corpse 502_20
宝箱00	Treasure Chest 00
宝箱01	Treasure Chest 01
魔法血文字1	Blood magic character 1
魔法血文字2	Blood magic character 2
魔法血文字3	Blood magic character 3
魔法血文字4	Blood magic character 4
魔法血文字5	Blood magic character 5
ObjAct ヘルカイト門レバー	ObjAct Hellkite Gate lever
ObjAct 教会鐘レバー	ObjAct church bell lever
ObjAct 教会門レバー	ObjAct Church Gate lever
ObjAct 汎用扉05_1 見張り塔扉（上）	ObjAct general-purpose door 05_1 watchtower door ( above )
ObjAct 汎用扉05_2 見張り塔扉（下）	ObjAct general-purpose door 05_2 watchtower door (bottom)
ObjAct 汎用扉06 城下2接続	ObjAct general-purpose door 06 castle 2 connection
ObjAct 汎用扉08 教会牢	ObjAct universal church door 08 prison
ObjAct 汎用扉10 鍵民家	ObjAct general-purpose door 10 key private house
ObjAct 汎用扉12	ObjAct general-purpose door 12
ObjAct 汎用扉12_1	ObjAct general-purpose door 12_1
ObjAct 汎用扉13	ObjAct general-purpose door 13
ObjAct 汎用扉14 中層下層	ObjAct general-purpose door 14 lower middle
ObjAct 汎用扉17 下層牢	ObjAct general-purpose door 17 lower prison
ObjAct 汎用扉18 蹴破り	The general-purpose door Keyaburi ObjAct 18
宝箱00 objact	00 objact treasure box
宝箱01 objact	01 objact treasure box
復活イベント00	Revival event 00
復活イベント01	Revival event 01
復活イベント02	Revival event 02
復活イベント03	Revival event 03
復活イベント04	Revival event 04
復活イベント05	Revival event 05
復活イベント06	Revival event 06
復活イベントboss	Revival event boss
navimesh 教会レバー	navimesh church lever
navimesh 汎用扉05_1	navimesh general-purpose door 05_1
navimesh 汎用扉05_2	navimesh general-purpose door 05_2
navimesh 汎用扉06	navimesh general-purpose door 06
navimesh 汎用扉08	navimesh general-purpose door 08
navimesh 汎用扉10	navimesh general-purpose door 10
navimesh 汎用扉11	navimesh general-purpose door 11
navimesh 汎用扉12	navimesh general-purpose door 12
navimesh 汎用扉13	navimesh general-purpose door 13
navimesh 汎用扉14	navimesh general-purpose door 14
navimesh 汎用扉17_4	navimesh general-purpose door 17_4
navimesh 汎用扉18	navimesh general-purpose door 18
GIEL h1000	GIEL h1000
GIEL h1001	GIEL h1001
GIEL h1002	GIEL h1002
GIEL h1003	GIEL h1003
GIEL h1004	GIEL h1004
GIEL h1005	GIEL h1005
GIEL h1007	GIEL h1007
GIEL h1008	GIEL h1008
GIEL h1009	GIEL h1009
GIEL h1011	GIEL h1011
GIEL h1015	GIEL h1015
GIEL h1018	GIEL h1018
GIEL h1020	GIEL h1020
GIEL h1021	GIEL h1021
GIEL h1022	GIEL h1022
GIEL h1026	GIEL h1026
GIEL h1031	GIEL h1031
GIEL h1032	GIEL h1032
GIEL h1034	GIEL h1034
GIEL h1036	GIEL h1036
GIEL h1039	GIEL h1039
GIEL h1040	GIEL h1040
GIEL h1042	GIEL h1042
GIEL h1046	GIEL h1046
GIEL h1047	GIEL h1047
GIEL h1048	GIEL h1048
GIEL h1049	GIEL h1049
GIEL h1050	GIEL h1050
GIEL h1053	GIEL h1053
GIEL h1055	GIEL h1055
GIEL h1057	GIEL h1057
GIEL h1060	GIEL h1060
GIEL h1066	GIEL h1066
GIEL h1086	GIEL h1086
GIEL h1092	GIEL h1092
GIEL h1093	GIEL h1093
GIEL h1095	GIEL h1095
